,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,ipniID.type,ipniID,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
141,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q72460773,literal,Paris polyphylla var. chinensis,literal,FBFJAXUYHGSVFN-IYUYFXHASA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65O)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(OC%10OC(C)C(O)C(O)C%10O)C(O)C9O,en,literal,Chonglou Saponin VII,literal,77188961-1,literal,10.1007/S10600-007-0225-8,literal,68124-04-9,,
142,uri,http://www.wikidata.org/entity/Q85216122,uri,http://www.wikidata.org/entity/Q63409374,literal,Veratrum viride var. eschscholtzianum,literal,KZJWDPNRJALLNS-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCC(CC)C(C)C)C2(C)CC1,en,literal,"17-(5-ethyl-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,77188798-1,literal,10.1016/0031-9422(77)84048-X,,,,
143,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q121802,literal,Paris polyphylla var. chinensis,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,en,literal,beta-sitosterol,literal,77188961-1,literal,10.1002/JCCS.198200006,literal,64997-52-0,,
144,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q27136880,literal,Paris polyphylla var. chinensis,literal,VWDLOXMZIGUBKM-AUGXRQBFSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,en,literal,stigmasterol 3-O-beta-D-glucoside,literal,77188961-1,literal,10.1002/JCCS.198200006,literal,19716-26-8,literal,CHEMBL447335
145,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110180175,literal,Chamaelirium luteum,literal,JZMDKEBMPGTZOH-PRNNDJEASA-N,literal,OCC1OC(OCC2OC(OC3CCC4(C)C(C3)C(O)CC5C4CCC6(C)C5CC(O)C6C(C)CC(O)C(O)C(C)C)C(O)C(O)C2O)C(O)C(O)C1O,en,literal,Chamaeliroside A,literal,532651-1,literal,10.1021/NP300393Y,,,,
146,uri,http://www.wikidata.org/entity/Q9332551,uri,http://www.wikidata.org/entity/Q3902665,literal,Schoenocaulon officinale,literal,HSTZMXCBWJGKHG-CUYWLFDKSA-N,literal,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,en,literal,polydatin,literal,540614-1,literal,10.1248/CPB.50.863,literal,65914-17-2,literal,CHEMBL142652
147,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q27106723,literal,Veratrum album var. oxysepalum,literal,RNPABQVCNAUEIY-GUQYYFCISA-N,literal,CC1CCC2C(C3C(CN2C1)C4CC56C(C4(C(C3O)O)O)C(CC7C5(CCC(C7(O6)O)O)C)O)(C)O,en,literal,germine,literal,262864-2,literal,10.1007/BF00580584,literal,508-65-6,,
148,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q423338,literal,Paris polyphylla var. chinensis,literal,NKDFYOWSKOHCCO-YPVLXUMRSA-N,literal,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O,en,literal,20-hydroxyecdysone,literal,77188961-1,literal,10.1002/JCCS.198200006,literal,5289-74-7,literal,CHEMBL224128
149,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q423338,literal,Paris polyphylla var. chinensis,literal,NKDFYOWSKOHCCO-YPVLXUMRSA-N,literal,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O,en,literal,20-hydroxyecdysone,literal,77188961-1,literal,10.1007/S10600-007-0225-8,literal,5289-74-7,literal,CHEMBL224128
150,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q4466094,literal,Paris polyphylla var. chinensis,literal,WSBAGDDNVWTLOM-XHZKDPLLSA-N,literal,CC12CC(C3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O)O,en,literal,turkesterone,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,literal,41451-87-0,literal,CHEMBL2087140
151,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q15410900,literal,Paris polyphylla var. chinensis,literal,NPJICTMALKLTFW-OFUAXYCQSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,en,literal,sitogluside,literal,77188961-1,literal,10.1002/JCCS.198200006,literal,474-58-8,literal,CHEMBL506678
152,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q72479157,literal,Paris polyphylla var. chinensis,literal,OZIHYFWYFUSXIS-HDDFSWBLSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(OC%10OC(C)C(O)C(O)C%10O)C(O)C9O,en,literal,Formosanin C,literal,77188961-1,literal,10.1017/S0031182013000139,literal,50773-42-7,,
153,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q72479157,literal,Paris polyphylla var. chinensis,literal,OZIHYFWYFUSXIS-HDDFSWBLSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(OC%10OC(C)C(O)C(O)C%10O)C(O)C9O,en,literal,Formosanin C,literal,77188961-1,literal,10.1007/S10600-007-0225-8,literal,50773-42-7,,
154,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q72479157,literal,Paris polyphylla var. chinensis,literal,OZIHYFWYFUSXIS-HDDFSWBLSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(OC%10OC(C)C(O)C(O)C%10O)C(O)C9O,en,literal,Formosanin C,literal,77188961-1,literal,10.1016/0192-0561(90)90042-L,literal,50773-42-7,,
155,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q27287812,literal,Veratrum album var. oxysepalum,literal,AANKDJLVHZQCFG-KVHNBARJSA-N,literal,CC1CCC2C(C3C(N2C1)CC4C3(C(CC5C4CC=C6C5(CCC(C6)O)C)O)C)C,en,literal,rubijervine,literal,262864-2,literal,10.1007/BF00580584,literal,79-58-3,literal,CHEMBL1993702
156,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q27287812,literal,Veratrum album var. oxysepalum,literal,AANKDJLVHZQCFG-KVHNBARJSA-N,literal,CC1CCC2C(C3C(N2C1)CC4C3(C(CC5C4CC=C6C5(CCC(C6)O)C)O)C)C,en,literal,rubijervine,literal,262864-2,literal,10.1248/YAKUSHI1947.79.5_609,literal,79-58-3,literal,CHEMBL1993702
157,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q5807682,literal,Paris polyphylla var. chinensis,literal,VNONINPVFQTJOC-ZGXDEBHDSA-N,literal,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,en,literal,dioscin,literal,77188961-1,literal,10.1002/JCCS.198200006,literal,19057-60-4,literal,CHEMBL507001
158,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q5807682,literal,Paris polyphylla var. chinensis,literal,VNONINPVFQTJOC-ZGXDEBHDSA-N,literal,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,en,literal,dioscin,literal,77188961-1,literal,10.1016/S0031-9422(00)81066-3,literal,19057-60-4,literal,CHEMBL507001
159,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q27108101,literal,Paris polyphylla var. chinensis,literal,GMCGZPQYTRHQRU-DKWQWWTLSA-N,literal,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O,en,literal,Protogracillin,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,literal,54848-30-5,literal,CHEMBL2071193
160,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q110184392,literal,Paris polyphylla var. chinensis,literal,GPJHBUPSNWTUHE-VEWPCOCASA-N,literal,OCC1OC(OCC(C)CCC=2OC3CC4C5CC=C6CC(OC7OC(CO)C(OC8OC(CO)C(O)C8O)C(O)C7OC9OC(C)C(O)C(O)C9O)CCC6(C)C5CCC4(C)C3C2C)C(O)C(O)C1O,en,literal,Parisyunnanoside B,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,,,,
161,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q1109,literal,Paris polyphylla var. chinensis,literal,XLROVYAPLOFLNU-UHFFFAOYSA-N,literal,[Pa],en,literal,protactinium,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,literal,7440-13-3,,
162,uri,http://www.wikidata.org/entity/Q11116337,uri,http://www.wikidata.org/entity/Q82907358,literal,Zigadenus sibiricus,literal,VRBNGKPRTHBEIQ-LURFOZDGSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C5=NCC(C)CC5)C)C2(C)CC1,en,literal,Verazine,literal,543855-1,literal,10.1007/BF00574208,literal,14320-81-1,,
163,uri,http://www.wikidata.org/entity/Q9332551,uri,http://www.wikidata.org/entity/Q7116143,literal,Schoenocaulon officinale,literal,PDHAOJSHSJQANO-OWOJBTEDSA-N,literal,C1=CC(=C(C=C1O)O)C=CC2=CC(=CC(=C2)O)O,en,literal,hydroxyresveratrol,literal,540614-1,literal,10.1248/CPB.50.863,literal,29700-22-9,literal,CHEMBL43065
164,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q425004,literal,Paris polyphylla var. chinensis,literal,HCXVJBMSMIARIN-PHZDYDNGSA-N,literal,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,en,literal,stigmasterol,literal,77188961-1,literal,10.1002/JCCS.198200006,literal,83-48-7,literal,CHEMBL400247
165,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110177988,literal,Chamaelirium luteum,literal,HJMSZKKOQIZOLJ-WBHRXQROSA-N,literal,OCC(C)CCC(O)C(C)C1C(O)CC2C3CC=C4CC(O)CCC4(C)C3CCC21C,en,literal,"(3S,8S,9S,10R,13S,14S,16S,17R)-17-[(2S,3R,6R)-3,7-dihydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,16-diol",literal,532651-1,literal,10.1021/NP300393Y,,,,
166,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q110184387,literal,Paris polyphylla var. chinensis,literal,CQNNQPUOZZFKAB-VAOSOQNMSA-N,literal,OCC1OC(OCC(C)CCC2(O)OC3CC4C5CC=C6CC(OC7OC(CO)C(OC8OC(CO)C(O)C8O)C(O)C7OC9OC(C)C(O)C(O)C9O)CCC6(C)C5CCC4(C)C3(O)C2C)C(O)C(O)C1O,en,literal,Parisyunnanoside A,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,,,,
167,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q385347,literal,Paris polyphylla var. chinensis,literal,WYWHKKSPHMUBEB-UHFFFAOYSA-N,literal,C1=NC2=C(N1)C(=S)N=C(N2)N,en,literal,6-thioguanine,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,literal,154-42-7,literal,CHEMBL727
168,uri,http://www.wikidata.org/entity/Q2707753,uri,http://www.wikidata.org/entity/Q104888980,literal,Veratrum viride,literal,CLEXYFLHGFJONT-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(O)CCC6(C)C15,en,literal,jervine,literal,543543-1,literal,10.1021/NP980150B,,,,
169,uri,http://www.wikidata.org/entity/Q2707753,uri,http://www.wikidata.org/entity/Q104888980,literal,Veratrum viride,literal,CLEXYFLHGFJONT-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(O)CCC6(C)C15,en,literal,jervine,literal,543543-1,literal,10.1007/BF00575783,,,,
170,uri,http://www.wikidata.org/entity/Q15236645,uri,http://www.wikidata.org/entity/Q104193829,literal,Veratrum stenophyllum,literal,OVSQVDMCBVZWGM-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,543535-1,literal,10.1016/0031-9422(77)84048-X,,,,
171,uri,http://www.wikidata.org/entity/Q10936837,uri,http://www.wikidata.org/entity/Q104400129,literal,Veratrum taliense,literal,XWTNAYWYYCWVTF-ZYIGCDQXSA-N,literal,OC1CC2=CCC3C4CCC(C(C)C5NCC(C)CC5)C4(C)C(O)CC3C2(C)CC1,en,literal,Veramitaline,literal,543536-1,literal,10.1007/S10600-008-9082-3,,,,
172,uri,http://www.wikidata.org/entity/Q10936837,uri,http://www.wikidata.org/entity/Q104400129,literal,Veratrum taliense,literal,XWTNAYWYYCWVTF-ZYIGCDQXSA-N,literal,OC1CC2=CCC3C4CCC(C(C)C5NCC(C)CC5)C4(C)C(O)CC3C2(C)CC1,en,literal,Veramitaline,literal,543536-1,literal,10.1002/CHIN.200345190,,,,
173,uri,http://www.wikidata.org/entity/Q10894195,uri,http://www.wikidata.org/entity/Q104888777,literal,Veratrum dahuricum,literal,HYDDDNUKNMMWBD-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(OC7OC(CO)C(O)C(O)C7O)CCC6(C)C15,en,literal,"3',6',10,11b-tetramethyl-11-oxo-1,2,3,3a',4,4',5',6,6',6a,6b,7,7',7a',8,11,11a,11b-octadecahydro-3'H-spiro[benzo[a]fluorene-9,2'-furo[3,2-b]pyridin]-3-yl hexopyranoside",literal,543485-1,literal,10.1016/0031-9422(96)00211-7,,,,
174,uri,http://www.wikidata.org/entity/Q10894195,uri,http://www.wikidata.org/entity/Q104888777,literal,Veratrum dahuricum,literal,HYDDDNUKNMMWBD-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(OC7OC(CO)C(O)C(O)C7O)CCC6(C)C15,en,literal,"3',6',10,11b-tetramethyl-11-oxo-1,2,3,3a',4,4',5',6,6',6a,6b,7,7',7a',8,11,11a,11b-octadecahydro-3'H-spiro[benzo[a]fluorene-9,2'-furo[3,2-b]pyridin]-3-yl hexopyranoside",literal,543485-1,literal,10.1016/S0040-4020(03)00882-2,,,,
175,uri,http://www.wikidata.org/entity/Q10894195,uri,http://www.wikidata.org/entity/Q104888777,literal,Veratrum dahuricum,literal,HYDDDNUKNMMWBD-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(OC7OC(CO)C(O)C(O)C7O)CCC6(C)C15,en,literal,"3',6',10,11b-tetramethyl-11-oxo-1,2,3,3a',4,4',5',6,6',6a,6b,7,7',7a',8,11,11a,11b-octadecahydro-3'H-spiro[benzo[a]fluorene-9,2'-furo[3,2-b]pyridin]-3-yl hexopyranoside",literal,543485-1,literal,10.1002/PTR.3022,,,,
176,uri,http://www.wikidata.org/entity/Q10894195,uri,http://www.wikidata.org/entity/Q104193829,literal,Veratrum dahuricum,literal,OVSQVDMCBVZWGM-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,543485-1,literal,10.1016/0031-9422(77)84048-X,,,,
177,uri,http://www.wikidata.org/entity/Q2355143,uri,http://www.wikidata.org/entity/Q104400128,literal,Veratrum lobelianum,literal,RNPABQVCNAUEIY-WDJXZMKESA-N,literal,OC1CC2C3(O)OC4(CC5C6CN7CC(C)CCC7C(O)(C)C6C(O)C(O)C5(O)C14)C2(C)CCC3O,en,literal,"(4alpha,5xi,7alpha,13xi,15alpha)-4,9-Epoxycevane-3,4,7,14,15,16,20-heptol",literal,30300236-2,literal,10.1007/BF00567895,,,,
178,uri,http://www.wikidata.org/entity/Q2707753,uri,http://www.wikidata.org/entity/Q104888777,literal,Veratrum viride,literal,HYDDDNUKNMMWBD-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(OC7OC(CO)C(O)C(O)C7O)CCC6(C)C15,en,literal,"3',6',10,11b-tetramethyl-11-oxo-1,2,3,3a',4,4',5',6,6',6a,6b,7,7',7a',8,11,11a,11b-octadecahydro-3'H-spiro[benzo[a]fluorene-9,2'-furo[3,2-b]pyridin]-3-yl hexopyranoside",literal,543543-1,literal,10.1016/0031-9422(96)00211-7,,,,
179,uri,http://www.wikidata.org/entity/Q2707753,uri,http://www.wikidata.org/entity/Q104888777,literal,Veratrum viride,literal,HYDDDNUKNMMWBD-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(OC7OC(CO)C(O)C(O)C7O)CCC6(C)C15,en,literal,"3',6',10,11b-tetramethyl-11-oxo-1,2,3,3a',4,4',5',6,6',6a,6b,7,7',7a',8,11,11a,11b-octadecahydro-3'H-spiro[benzo[a]fluorene-9,2'-furo[3,2-b]pyridin]-3-yl hexopyranoside",literal,543543-1,literal,10.1016/S0040-4020(03)00882-2,,,,
180,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104908070,literal,Veratrum album,literal,AANKDJLVHZQCFG-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CC(O)C4(C)C3CC5N6CC(C)CCC6C(C)C54)C2(C)CC1,en,literal,"Solanid-5-en-3beta,12alpha-diol",literal,30192264-2,literal,10.1002/ARDP.19552881005,,,,
181,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104908070,literal,Veratrum album,literal,AANKDJLVHZQCFG-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CC(O)C4(C)C3CC5N6CC(C)CCC6C(C)C54)C2(C)CC1,en,literal,"Solanid-5-en-3beta,12alpha-diol",literal,30192264-2,literal,10.1002/ARDP.19372750803,,,,
182,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104908070,literal,Veratrum album,literal,AANKDJLVHZQCFG-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CC(O)C4(C)C3CC5N6CC(C)CCC6C(C)C54)C2(C)CC1,en,literal,"Solanid-5-en-3beta,12alpha-diol",literal,30192264-2,literal,10.1002/ARDP.19372750603,,,,
183,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104888297,literal,Veratrum album,literal,MHQPNCBMPCWYOY-MRIZPRFZSA-N,literal,O=C(OC1CCC2(C)C3CC(OC(=O)C)C4C5(O)C(OC(=O)C(C)CC)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(OC)C(OC)=C8,en,literal,"[(1S,2S,6S,9S,10S,11R,12R,13S,14S,15S,16R,18S,19S,22S,23S,25R)-16-acetyloxy-10,12,14,23-tetrahydroxy-6,10,19-trimethyl-13-[(2R)-2-methylbutanoyl]oxy-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] 3,4-dimethoxybenzoate",literal,30192264-2,literal,10.1021/NP50083A002,,,,
184,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104888848,literal,Veratrum album,literal,UQVIFHXKIPQADQ-UHFFFAOYSA-N,literal,O=C(OC1CC2=CCC3C4C(C(=O)C3C2(C)CC1)=C(C)C5(OC6CC(C)CNC6C5C)CC4)C,en,literal,"(3',6',10,11b-tetramethyl-11-oxospiro[1,2,3,4,6,6a,6b,7,8,11a-decahydrobenzo[a]fluorene-9,2'-3a,4,5,6,7,7a-hexahydro-3H-furo[3,2-b]pyridine]-3-yl) acetate",literal,30192264-2,literal,10.1055/S-2006-959767,,,,
185,uri,http://www.wikidata.org/entity/Q10894195,uri,http://www.wikidata.org/entity/Q104402052,literal,Veratrum dahuricum,literal,MFMQRDLLSRLUJY-DXKBKAGUSA-N,literal,OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=C(C=CC3=CC=C(OC)C=C3)C1,en,literal,Desoxyrhaponticin,literal,543485-1,literal,10.1007/S10600-009-9352-8,,,,
186,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104888295,literal,Veratrum album,literal,IXQQMGUKHFWRLN-GQSPHMEDSA-N,literal,O=C1C2=C(C)C(O)(CCC2C3CC(O)C4CC(O)CCC4(C)C13)C(C)C5NCC(C)CC5O,en,literal,"(3S,4aS,5S,6aS,6bS,9R,11aS,11bS)-3,5,9-trihydroxy-9-[(1R)-1-[(2S,3R,5S)-3-hydroxy-5-methylpiperidin-2-yl]ethyl]-10,11b-dimethyl-1,2,3,4,4a,5,6,6a,6b,7,8,11a-dodecahydrobenzo[a]fluoren-11-one",literal,30192264-2,literal,10.1016/0031-9422(96)00211-7,,,,
187,uri,http://www.wikidata.org/entity/Q10894195,uri,http://www.wikidata.org/entity/Q104888296,literal,Veratrum dahuricum,literal,XLQGICHHYYWYIU-WHNQNWTDSA-N,literal,OC1CC2=CCC3C4C(=CCC3C2(C)CC1)C5(C)C(OC6(NCC(C)CC6)C5C)C4,en,literal,"(1R,2S,4R,5'S,6S,7S,8S,12S,13R,16S)-5',7,8,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-9,18-diene-6,2'-piperidine]-16-ol",literal,543485-1,literal,10.1007/BF00580055,,,,
188,uri,http://www.wikidata.org/entity/Q2355143,uri,http://www.wikidata.org/entity/Q104888980,literal,Veratrum lobelianum,literal,CLEXYFLHGFJONT-UHFFFAOYSA-N,literal,O=C1C2=C(C)C3(OC4CC(C)CNC4C3C)CCC2C5CC=C6CC(O)CCC6(C)C15,en,literal,jervine,literal,30300236-2,literal,10.1021/NP980150B,,,,
189,uri,http://www.wikidata.org/entity/Q10894195,uri,http://www.wikidata.org/entity/Q104400129,literal,Veratrum dahuricum,literal,XWTNAYWYYCWVTF-ZYIGCDQXSA-N,literal,OC1CC2=CCC3C4CCC(C(C)C5NCC(C)CC5)C4(C)C(O)CC3C2(C)CC1,en,literal,Veramitaline,literal,543485-1,literal,10.1002/PTR.2463,,,,
190,uri,http://www.wikidata.org/entity/Q11126737,uri,http://www.wikidata.org/entity/Q104168450,literal,Veratrum grandiflorum,literal,HVYWMOMLDIMFJA-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1,en,literal,epicholestrol,literal,543495-1,literal,10.1248/CPB.27.2534,,,,
191,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104888278,literal,Veratrum album,literal,RCDFKDXMJYWZIU-PUCXWOGFSA-N,literal,O=C(OC1CC(OC(=O)C(O)(C)CC)C2(O)OC34CC5C6CN7CC(C)CCC7C(O)(C)C6C(O)C(OC(=O)C(C)CC)C5(O)C4C(O)CC2C13C)C,,literal,Q104888278,literal,30192264-2,literal,10.1016/0031-9422(96)00211-7,,,,
192,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104888847,literal,Veratrum album,literal,UQVIFHXKIPQADQ-RTVVJHDTSA-N,literal,O=C(OC1CC2=CCC3C4C(C(=O)C3C2(C)CC1)=C(C)C5(OC6CC(C)CNC6C5C)CC4)C,en,literal,"[(3S,3'R,3'aS,6'S,6aS,6bR,7'aR,9R,11aS,11bR)-3',6',10,11b-tetramethyl-11-oxospiro[1,2,3,4,6,6a,6b,7,8,11a-decahydrobenzo[a]fluorene-9,2'-3a,4,5,6,7,7a-hexahydro-3H-furo[3,2-b]pyridine]-3-yl] acetate",literal,30192264-2,literal,10.1016/0031-9422(91)84161-K,,,,
193,uri,http://www.wikidata.org/entity/Q157547,uri,http://www.wikidata.org/entity/Q104396343,literal,Veratrum album,literal,VRBNGKPRTHBEIQ-MAFAIHIWSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C5=NCC(C)CC5)C)C2(C)CC1,en,literal,"(20S,25S)-22,26-iminocholesta-5,22(N)-dien-3beta-ol",literal,30192264-2,literal,10.1007/BF00564623,,,,
194,uri,http://www.wikidata.org/entity/Q158898,uri,http://www.wikidata.org/entity/Q104908070,literal,Veratrum nigrum,literal,AANKDJLVHZQCFG-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CC(O)C4(C)C3CC5N6CC(C)CCC6C(C)C54)C2(C)CC1,en,literal,"Solanid-5-en-3beta,12alpha-diol",literal,543516-1,literal,10.1007/BF00580584,,,,
195,uri,http://www.wikidata.org/entity/Q158898,uri,http://www.wikidata.org/entity/Q104908070,literal,Veratrum nigrum,literal,AANKDJLVHZQCFG-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CC(O)C4(C)C3CC5N6CC(C)CCC6C(C)C54)C2(C)CC1,en,literal,"Solanid-5-en-3beta,12alpha-diol",literal,543516-1,literal,10.1007/BF00575783,,,,
